name,value,year,lastValue,rank
Sexual Content,1,2013.12,1,10
Action,777,2013.11,751,1
Adventure,235,2013.11,225,2
Casual,188,2013.11,175,3
Strategy,185,2013.11,182,7
Indie,138,2013.11,133,4
Simulation,88,2013.11,82,6
RPG,84,2013.11,83,8
Free to Play,16,2013.11,15,9
Violent,6,2013.11,6,5
Sexual Content,1,2013.11,1,10
Action,751,2013.1,721,1
Adventure,225,2013.1,211,2
Strategy,182,2013.1,182,7
Casual,175,2013.1,169,3
Indie,133,2013.1,123,4
RPG,83,2013.1,82,8
Simulation,82,2013.1,78,6
Free to Play,15,2013.1,15,9
Violent,6,2013.1,6,5
Sexual Content,1,2013.1,1,10
Action,721,2013.09,711,1
Adventure,211,2013.09,211,2
Strategy,182,2013.09,181,7
Casual,169,2013.09,168,3
Indie,123,2013.09,121,4
RPG,82,2013.09,81,8
Simulation,78,2013.09,77,6
Free to Play,15,2013.09,14,9
Violent,6,2013.09,6,5
Sexual Content,1,2013.09,1,10
Action,711,2013.08,682,1
Adventure,211,2013.08,197,2
Strategy,181,2013.08,178,7
Casual,168,2013.08,166,3
Indie,121,2013.08,118,4
RPG,81,2013.08,81,8
Simulation,77,2013.08,76,6
Free to Play,14,2013.08,13,9
Violent,6,2013.08,5,5
Sexual Content,1,2013.08,1,10
Action,682,2013.07,671,1
Adventure,197,2013.07,193,2
Strategy,178,2013.07,178,7
Casual,166,2013.07,166,3
Indie,118,2013.07,117,4
RPG,81,2013.07,79,8
Simulation,76,2013.07,76,6
Free to Play,13,2013.07,13,9
Violent,5,2013.07,5,5
Sexual Content,1,2013.07,1,10
Action,671,2013.06,661,1
Adventure,193,2013.06,192,2
Strategy,178,2013.06,173,7
Casual,166,2013.06,162,3
Indie,117,2013.06,114,4
RPG,79,2013.06,79,8
Simulation,76,2013.06,76,6
Free to Play,13,2013.06,13,9
Violent,5,2013.06,5,5
Sexual Content,1,2013.06,1,10
Action,661,2013.05,645,1
Adventure,192,2013.05,191,2
Strategy,173,2013.05,172,7
Casual,162,2013.05,159,3
Indie,114,2013.05,119,4
RPG,79,2013.05,79,8
Simulation,76,2013.05,76,6
Free to Play,13,2013.05,13,9
Violent,5,2013.05,5,5
Sexual Content,1,2013.05,1,10
Action,645,2013.04,628,1
Adventure,191,2013.04,184,2
Strategy,172,2013.04,171,7
Casual,159,2013.04,159,3
Indie,119,2013.04,115,4
RPG,79,2013.04,79,8
Simulation,76,2013.04,75,6
Free to Play,13,2013.04,13,9
Violent,5,2013.04,5,5
Sexual Content,1,2013.04,1,10
Action,628,2013.03,615,1
Adventure,184,2013.03,181,2
Strategy,171,2013.03,171,7
Casual,159,2013.03,157,3
Indie,115,2013.03,111,4
RPG,79,2013.03,79,8
Simulation,75,2013.03,74,6
Free to Play,13,2013.03,12,9
Violent,5,2013.03,5,5
Sexual Content,1,2013.03,1,10
Action,615,2013.02,617,1
Adventure,181,2013.02,179,2
Strategy,171,2013.02,169,7
Casual,157,2013.02,153,3
Indie,111,2013.02,111,4
RPG,79,2013.02,79,8
Simulation,74,2013.02,72,6
Free to Play,12,2013.02,9,9
Violent,5,2013.02,5,5
Sexual Content,1,2013.02,1,10
Action,617,2013.01,611,1
Adventure,179,2013.01,174,2
Strategy,169,2013.01,169,7
Casual,153,2013.01,153,3
Indie,111,2013.01,111,4
RPG,79,2013.01,78,8
Simulation,72,2013.01,71,6
Free to Play,9,2013.01,9,9
Violent,5,2013.01,5,5
Sexual Content,1,2013.01,1,10
Action,611,2012.12,591,1
Adventure,174,2012.12,171,2
Strategy,169,2012.12,169,7
Casual,153,2012.12,152,3
Indie,111,2012.12,111,4
RPG,78,2012.12,76,8
Simulation,71,2012.12,71,6
Free to Play,9,2012.12,8,9
Violent,5,2012.12,5,5
Sexual Content,1,2012.12,1,10
Action,591,2012.11,571,1
Adventure,171,2012.11,166,2
Strategy,169,2012.11,168,7
Casual,152,2012.11,151,3
Indie,111,2012.11,97,4
RPG,76,2012.11,75,8
Simulation,71,2012.11,71,6
Free to Play,8,2012.11,8,9
Violent,5,2012.11,5,5
Sexual Content,1,2012.11,1,10
Action,571,2012.1,551,1
Strategy,168,2012.1,163,7
Adventure,166,2012.1,162,2
Casual,151,2012.1,149,3
Indie,97,2012.1,91,4
RPG,75,2012.1,72,8
Simulation,71,2012.1,71,6
Free to Play,8,2012.1,8,9
Violent,5,2012.1,3,5
Sexual Content,1,2012.1,1,10
Action,551,2012.09,529,1
Strategy,163,2012.09,163,7
Adventure,162,2012.09,159,2
Casual,149,2012.09,147,3
Indie,91,2012.09,86,4
RPG,72,2012.09,72,8
Simulation,71,2012.09,71,6
Free to Play,8,2012.09,8,9
Violent,3,2012.09,3,5
Sexual Content,1,2012.09,1,10
Action,529,2012.08,518,1
Strategy,163,2012.08,161,7
Adventure,159,2012.08,153,2
Casual,147,2012.08,146,3
Indie,86,2012.08,83,4
RPG,72,2012.08,71,8
Simulation,71,2012.08,71,6
Free to Play,8,2012.08,8,9
Violent,3,2012.08,3,5
Sexual Content,1,2012.08,1,10
Action,518,2012.07,511,1
Strategy,161,2012.07,161,7
Adventure,153,2012.07,151,2
Casual,146,2012.07,146,3
Indie,83,2012.07,83,4
Simulation,71,2012.07,71,6
RPG,71,2012.07,69,8
Free to Play,8,2012.07,8,9
Violent,3,2012.07,3,5
Sexual Content,1,2012.07,1,10
Action,511,2012.06,492,1
Strategy,161,2012.06,159,7
Adventure,151,2012.06,151,2
Casual,146,2012.06,144,3
Indie,83,2012.06,77,4
Simulation,71,2012.06,71,6
RPG,69,2012.06,68,8
Free to Play,8,2012.06,7,9
Violent,3,2012.06,3,5
Sexual Content,1,2012.06,1,10
Action,492,2012.05,479,1
Strategy,159,2012.05,157,7
Adventure,151,2012.05,143,2
Casual,144,2012.05,142,3
Indie,77,2012.05,76,4
Simulation,71,2012.05,69,6
RPG,68,2012.05,65,8
Free to Play,7,2012.05,7,9
Violent,3,2012.05,3,5
Sexual Content,1,2012.05,1,10
Action,479,2012.04,465,1
Strategy,157,2012.04,156,7
Adventure,143,2012.04,139,2
Casual,142,2012.04,141,3
Indie,76,2012.04,73,4
Simulation,69,2012.04,69,6
RPG,65,2012.04,63,8
Free to Play,7,2012.04,7,9
Violent,3,2012.04,3,5
Sexual Content,1,2012.04,1,10
Action,465,2012.03,456,1
Strategy,156,2012.03,155,7
Casual,141,2012.03,137,3
Adventure,139,2012.03,132,2
Indie,73,2012.03,71,4
Simulation,69,2012.03,68,6
